"GLEN CANNICH (LUNGARD)",,,,,,,,,,,,
Grid ref,NH111301,Long,-5.138939,Lat,57.322213,,,,,,,
Station no,5767/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.00,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,18.20,,,,,,,,,,,
May,2.20,,,,,,,,,,,
June,3.49,,,,,,,,,,,
July,4.90,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,38.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
