"NORMANTON SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SE394241,Long,-1.404535,Lat,53.711840,,,,,,,
Station no,3235/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,0.94,2.37,2.02,4.61,,
February,,,,,,,1.92,3.62,0.05,1.35,,
March,,,,,,,1.34,1.92,0.85,1.53,,
April,,,,,,,0.11,0.35,4.17,0.58,,
May,,,,,,,1.12,2.73,0.79,0.92,,
June,,,,,,,2.23,3.55,1.61,0.69,,
July,,,,,,,3.40,4.92,1.01,2.68,,
August,,,,,,,4.69,1.94,0.56,4.82,,
September,,,,,,,2.90,2.37,0.12,3.53,,
October,,,,,,,1.11,1.35,1.34,5.70,,
November,,,,,,,1.73,0.87,3.32,4.03,,
December,,,,,,,2.45,3.48,3.01,2.44,,
Total,,,,,,,23.94,29.47,18.85,32.88,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.94,29.47,18.85,32.88,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
