"SPEAN BRIDGE (SPEAN LODGE)",,,,,,,,,,,,
Grid ref,NN221816,Long,-4.922054,Lat,56.891531,,,,,,,
Station no,5738/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.58,5.93,6.26,5.41,2.89,4.96,10.74,4.62,2.45,3.41,,
February,4.29,4.07,5.01,3.66,3.21,3.71,4.75,2.76,4.12,4.62,,
March,3.28,3.22,2.82,3.39,0.98,3.52,6.26,2.12,4.71,1.26,,
April,4.75,3.50,5.09,2.64,3.12,4.20,1.77,4.15,4.64,5.88,,
May,0.61,2.46,4.86,4.93,2.81,5.24,2.13,5.11,1.42,2.62,,
June,2.72,4.03,1.83,3.43,2.59,2.46,3.05,2.07,6.09,3.49,,
July,4.88,3.72,7.66,3.12,0.88,5.37,5.76,3.26,5.93,2.77,,
August,6.11,4.13,5.11,5.16,1.40,4.24,6.26,4.41,5.14,4.71,,
September,5.61,5.57,8.96,7.56,7.77,6.57,3.72,3.80,1.79,3.53,,
October,2.57,7.70,3.60,11.92,8.03,7.75,9.45,8.91,8.14,1.35,,
November,7.50,3.93,12.54,8.93,2.34,5.81,2.61,1.48,7.17,4.30,,
December,11.02,7.18,7.31,14.41,10.90,13.02,8.08,5.86,8.36,7.99,,
Total,59.92,55.44,71.05,74.56,46.92,66.85,64.58,48.55,59.96,45.93,,
Calc annual,59.92,55.44,71.05,74.56,46.92,66.85,64.58,48.55,59.96,45.93,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
