"IONA MAOL",,,,,,,,,,,,
Grid ref,NM282240,Long,-6.398690,Lat,56.330132,,,,,,,
Station no,5446/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.05,5.58,3.77,5.75,2.88,3.80,6.58,5.83,2.22,2.96,,
February,3.33,2.31,2.79,3.87,2.60,1.88,2.96,4.72,1.32,3.74,,
March,3.37,4.34,1.76,4.06,0.69,1.86,4.35,1.02,4.16,2.04,,
April,2.91,2.40,3.19,1.57,2.91,2.00,1.66,2.56,3.10,2.26,,
May,0.80,1.51,3.11,3.94,1.69,2.67,2.07,2.52,1.87,2.61,,
June,1.21,3.18,1.64,4.05,3.52,2.57,2.85,3.45,2.61,2.45,,
July,4.40,2.97,5.06,3.82,0.40,4.82,4.71,2.86,5.63,3.50,,
August,3.83,4.25,4.18,4.77,1.59,5.64,3.11,3.73,1.76,2.02,,
September,4.66,3.95,5.96,7.61,6.24,4.33,2.82,3.07,1.95,2.66,,
October,2.77,5.36,3.66,8.59,7.74,4.17,5.12,6.02,5.66,2.58,,
November,7.44,2.72,8.63,8.05,1.95,4.58,2.53,2.93,5.09,4.90,,
December,7.77,5.25,4.45,6.51,5.81,6.41,4.82,4.21,6.93,6.57,,
Total,50.54,43.82,48.20,62.59,38.02,44.73,43.58,42.92,42.30,38.29,,
Calc annual,50.54,43.82,48.20,62.59,38.02,44.73,43.58,42.92,42.30,38.29,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
