"HORAM (COXLOW)",,,,,,,,,,,,
Grid ref,TQ575168,Long,0.239830,Lat,50.929155,,,,,,,
Station no,549,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.52,2.92,1.36,1.61,4.05,5.51,,,,,,
February,6.28,1.02,1.25,2.77,1.63,0.35,,,,,,
March,4.11,3.35,0.26,3.46,1.23,0.57,,,,,,
April,2.23,1.79,2.04,0.46,0.33,1.57,,,,,,
May,2.08,1.37,1.36,1.63,4.39,0.49,,,,,,
June,1.46,0.93,1.78,2.51,1.99,2.85,,,,,,
July,2.79,0.68,3.40,4.67,1.13,3.71,,,,,,
August,5.41,3.47,2.08,3.82,0.95,2.79,,,,,,
September,3.80,3.79,5.18,3.21,2.56,3.38,,,,,,
October,2.54,3.88,3.10,3.73,4.60,1.36,,,,,,
November,5.78,5.06,2.32,6.25,1.71,0.84,,,,,,
December,2.72,4.31,0.92,2.11,3.65,4.87,,,,,,
Total,43.72,32.57,25.05,36.23,28.22,28.29,,,,,,
Calc annual,43.72,32.57,25.05,36.23,28.22,28.29,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
