"MONIKIE (FALLAWS)",,,,,,,,,,,,
Grid ref,NO511409,Long,-2.797141,Lat,56.557514,,,,,,,
Station no,5597,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.15,1.50,0.67,1.70,1.75,3.65,3.30,2.88,1.30,5.43,,
February,3.05,0.30,0.90,3.40,2.63,1.40,4.40,2.90,0.37,2.90,,
March,2.80,3.70,0.35,3.30,2.30,1.80,2.70,7.40,1.57,2.90,,
April,2.69,1.00,2.80,1.16,0.80,0.67,0.95,2.75,3.08,3.10,,
May,1.70,2.70,2.30,3.73,2.30,0.65,2.15,3.00,1.08,1.58,,
June,2.39,2.40,1.30,2.50,0.98,3.98,1.03,2.30,2.38,2.80,,
July,3.40,2.30,3.60,2.80,1.00,5.28,5.05,5.50,2.59,3.10,,
August,4.80,3.69,2.09,3.00,0.30,5.73,4.90,2.97,-999.00,4.27,,
September,2.30,1.20,2.80,3.20,1.00,4.85,2.20,3.10,0.59,2.72,,
October,0.58,2.70,1.60,5.95,2.27,1.70,2.00,2.15,2.82,9.20,,
November,9.60,2.40,2.85,5.60,2.35,0.75,1.70,0.90,6.30,4.80,,
December,2.35,2.30,4.00,3.55,6.30,3.90,5.40,5.40,5.98,2.39,,
Total,39.81,26.19,25.26,39.89,23.98,34.36,35.78,41.25,28.71,45.19,,
Calc annual,39.81,26.19,25.26,39.89,23.98,34.36,35.78,41.25,28.06,45.19,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.00,,
