"HITCHIN (QUEEN STREET W.W.)",,,,,,,,,,,,
Grid ref,TL185289,Long,-0.277338,Lat,51.945985,,,,,,,
Station no,974/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.36,,
February,,,,,,,,,,2.17,,
March,,,,,,,,,,1.35,,
April,,,,,,,,,,0.36,,
May,,,,,,,,,,1.40,,
June,,,,,,,,,,2.10,,
July,,,,,,,,,,2.78,,
August,,,,,,,,,,3.03,,
September,,,,,,,,,,2.63,,
October,,,,,,,,,,5.50,,
November,,,,,,,,,,4.38,,
December,,,,,,,,,,3.92,,
Total,,,,,,,,,,31.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
