"HATFIELD BROAD OAK (BARRINGTON)",,,,,,,,,,,,
Grid ref,TL553177,Long,0.252636,Lat,51.836320,,,,,,,
Station no,1239,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.96,0.94,1.09,2.26,3.22,1.12,2.08,2.11,2.06,,
February,5.11,0.73,1.75,2.16,1.71,0.57,2.47,2.72,0.07,1.75,,
March,2.97,3.27,0.45,2.29,1.55,0.78,1.48,1.12,1.85,1.03,,
April,2.57,1.33,2.47,0.30,0.30,1.11,0.25,1.21,2.40,0.52,,
May,2.69,0.90,1.70,1.85,4.95,0.54,0.83,2.67,0.78,1.73,,
June,1.20,2.69,2.04,1.92,2.67,1.66,1.97,5.62,0.82,1.50,,
July,0.84,0.70,3.30,2.79,1.32,3.21,2.99,2.64,1.52,2.78,,
August,4.13,3.17,1.95,2.90,1.34,6.13,1.90,3.17,0.70,3.35,,
September,3.03,2.60,1.75,1.35,1.91,1.85,2.96,3.76,0.06,5.72,,
October,0.79,2.34,3.70,2.36,3.91,2.15,2.12,2.60,1.62,5.60,,
November,4.29,4.33,1.19,3.61,0.77,0.76,2.07,1.86,2.53,3.16,,
December,2.07,2.64,0.79,1.88,1.79,2.60,2.10,2.85,3.89,2.90,,
Total,32.07,26.66,22.03,24.50,24.48,24.58,22.26,32.30,18.35,32.10,,
Calc annual,32.07,26.66,22.03,24.50,24.48,24.58,22.26,32.30,18.35,32.10,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
