"SHREWSBURY (MONKMOOR)",,,,,,,,,,,,
Grid ref,SJ514138,Long,-2.720950,Lat,52.719657,,,,,,,
Station no,2290,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.89,2.43,0.60,2.33,2.31,3.07,1.06,1.72,3.71,4.46,,
February,2.02,0.62,1.49,2.15,1.69,0.44,1.82,3.16,0.20,1.81,,
March,4.15,1.25,1.17,1.69,2.57,1.00,1.58,0.92,1.63,1.43,,
April,1.84,1.83,2.80,0.46,1.19,1.53,0.44,0.51,2.92,1.39,,
May,3.15,1.63,2.03,2.99,3.95,0.42,1.45,1.92,1.42,1.24,,
June,1.02,2.11,2.30,2.55,2.38,1.73,1.58,4.58,2.00,2.60,,
July,1.63,0.67,2.58,2.41,1.31,3.28,3.18,4.18,1.56,2.71,,
August,3.24,2.03,1.75,3.68,1.46,4.74,5.54,3.36,0.70,6.05,,
September,1.98,1.41,2.44,1.59,1.67,2.36,4.77,6.82,0.16,4.77,,
October,0.81,3.57,1.95,4.36,1.24,2.01,1.79,2.07,2.17,5.16,,
November,4.94,2.34,1.85,4.49,1.38,0.76,1.69,1.79,2.57,4.07,,
December,2.47,2.72,1.08,1.90,2.20,2.11,0.95,2.33,4.19,2.73,,
Total,29.14,22.61,22.04,30.60,23.35,23.45,25.85,33.36,23.23,38.42,,
Calc annual,29.14,22.61,22.04,30.60,23.35,23.45,25.85,33.36,23.23,38.42,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
