"STOURTON CAUNDLE(HAREGATE) ",,,,,,,,,,,,
Grid ref,ST701135,Long,-2.426741,Lat,50.920178,,,,,,,
Station no,1627/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.31,2.69,0.84,1.75,,,,,,,,
February,6.07,0.85,1.69,2.60,,,,,,,,
March,3.58,2.68,0.65,3.44,,,,,,,,
April,3.05,1.99,2.92,0.20,,,,,,,,
May,3.03,3.12,2.42,1.70,,,,,,,,
June,0.51,2.06,2.50,2.96,,,,,,,,
July,2.15,0.70,2.49,3.19,,,,,,,,
August,5.23,3.83,2.14,3.00,,,,,,,,
September,3.35,3.66,2.69,2.80,,,,,,,,
October,0.98,4.02,4.02,2.39,,,,,,,,
November,9.91,4.13,2.04,7.36,,,,,,,,
December,3.55,2.81,0.83,3.13,,,,,,,,
Total,44.72,32.54,25.23,34.52,,,,,,,,
Calc annual,44.72,32.54,25.23,34.52,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
