"DUNMURRY S. WKS.",,,,,,,,,,,,
Grid ref,IJ332867,Long,-5.933804,Lat,54.710845,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.31,4.28,,
February,,,,,,,,,1.28,2.69,,
March,,,,,,,,,3.24,2.42,,
April,,,,,,,,,3.03,3.58,,
May,,,,,,,,,1.25,2.27,,
June,,,,,,,,,2.10,2.55,,
July,,,,,,,,,5.13,6.38,,
August,,,,,,,,,0.97,7.90,,
September,,,,,,,,,1.59,4.72,,
October,,,,,,,,3.19,3.95,-999.00,,
November,,,,,,,,2.03,3.76,4.51,,
December,,,,,,,,5.54,6.12,3.24,,
Total,,,,,,,,,34.73,51.72,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.76,34.73,44.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,7.18,,
