"WIDNES (CORPORATION DEPOT)",,,,,,,,,,,,
Grid ref,SJ507852,Long,-2.742258,Lat,53.361362,,,,,,,
Station no,2811/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.33,2.78,4.66,,
February,,,,,,,,5.38,0.30,1.71,,
March,,,,,,,,1.38,1.09,1.44,,
April,,,,,,,,0.90,3.10,1.62,,
May,,,,,,,,2.91,2.29,2.46,,
June,,,,,,,,4.22,2.99,2.31,,
July,,,,,,,,4.14,2.87,3.40,,
August,,,,,,,,2.12,0.72,3.72,,
September,,,,,,,,3.47,0.14,3.31,,
October,,,,,,,3.05,2.80,2.79,3.74,,
November,,,,,,,1.28,1.57,4.48,5.37,,
December,,,,,,,3.14,4.07,4.95,3.38,,
Total,,,,,,,,35.29,28.50,37.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,7.47,35.29,28.50,37.12,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
