"POTTERHANWORTH (OLD HALL)",,,,,,,,,,,,
Grid ref,TF055661,Long,-0.422780,Lat,53.181550,,,,,,,
Station no,2554/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.16,1.62,0.96,1.23,2.01,4.86,1.50,2.22,2.65,4.84,,
February,2.77,0.50,1.72,3.01,2.51,1.07,2.09,3.76,0.26,2.26,,
March,3.26,2.89,1.08,1.90,2.72,1.15,1.62,1.79,1.83,1.38,,
April,1.49,1.14,2.23,0.30,1.15,1.41,0.29,0.40,1.71,0.88,,
May,3.47,1.66,2.66,2.61,3.00,0.44,1.42,2.03,0.66,0.68,,
June,1.27,2.43,2.03,2.81,3.42,3.10,2.73,4.71,0.64,0.41,,
July,0.78,0.37,2.08,1.88,1.01,3.12,3.17,4.70,1.62,3.54,,
August,5.44,1.40,1.67,3.80,0.57,4.79,3.06,2.72,0.66,3.23,,
September,0.94,2.12,0.95,2.72,1.76,1.60,4.63,2.72,0.10,2.42,,
October,1.64,2.48,2.58,3.46,1.32,1.04,1.40,1.56,1.84,4.76,,
November,4.97,2.33,1.73,4.63,1.27,0.81,2.09,0.89,2.02,3.47,,
December,1.55,1.67,1.06,2.68,1.74,1.48,1.70,3.08,3.26,3.21,,
Total,29.74,20.61,20.75,31.03,22.48,24.87,25.70,30.58,17.25,31.08,,
Calc annual,29.74,20.61,20.75,31.03,22.48,24.87,25.70,30.58,17.25,31.08,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
