"ERPINGHAM (WOLTERTON PARK)",,,,,,,,,,,,
Grid ref,TG166316,Long,1.214439,Lat,52.838342,,,,,,,
Station no,1437/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.07,3.23,1.68,2.50,2.26,3.54,2.12,2.31,3.26,4.14,,
February,2.81,1.10,1.98,2.54,3.03,2.20,2.45,4.27,0.18,2.19,,
March,3.41,2.81,1.23,2.33,1.92,0.90,1.96,1.24,1.03,1.19,,
April,3.06,1.69,2.25,0.54,0.70,0.88,0.59,1.11,1.59,0.75,,
May,1.95,1.19,1.23,2.04,3.12,0.55,1.18,3.30,0.38,0.31,,
June,0.97,0.81,3.73,2.22,2.17,2.30,1.99,2.85,1.45,2.27,,
July,1.95,2.13,2.34,3.30,0.34,3.09,3.67,4.90,3.64,3.52,,
August,3.29,1.97,2.22,4.99,0.94,3.37,2.68,3.82,1.79,2.83,,
September,2.61,4.40,1.48,2.12,1.52,1.18,4.49,2.18,0.15,5.06,,
October,1.11,2.62,2.96,2.47,4.46,3.24,1.31,1.80,2.34,4.70,,
November,3.67,4.80,1.63,3.94,1.02,1.42,1.70,0.94,2.28,3.98,,
December,1.67,3.28,1.27,2.58,1.75,1.59,2.75,2.68,3.25,4.30,,
Total,29.57,30.03,24.00,31.57,23.23,24.26,26.89,31.40,21.34,35.24,,
Calc annual,29.57,30.03,24.00,31.57,23.23,24.26,26.89,31.40,21.34,35.24,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
