"COPPLESTONE (COPPLESTONE HOUSE)",,,,,,,,,,,,
Grid ref,SS771020,Long,-3.745521,Lat,50.804483,,,,,,,
Station no,1785,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,4.67,0.74,2.23,5.67,4.22,2.85,3.77,,,,
February,4.28,0.89,1.71,3.63,4.03,0.27,5.27,4.66,,,,
March,4.70,3.17,1.05,2.68,1.31,1.62,2.78,1.31,,,,
April,2.74,3.18,2.27,0.63,1.16,1.50,0.49,0.69,,,,
May,2.58,2.51,2.27,2.95,3.77,1.04,1.52,3.12,,,,
June,1.72,1.46,1.91,3.78,3.43,3.36,2.24,5.16,,,,
July,2.44,0.94,2.58,3.25,3.00,3.21,3.13,2.73,,,,
August,3.74,5.68,2.76,2.48,0.66,3.11,2.92,3.71,,,,
September,2.93,3.26,3.80,2.93,2.29,7.53,3.59,4.02,,,,
October,1.62,4.91,2.92,2.40,1.85,2.24,2.41,3.28,,,,
November,6.11,4.45,2.86,7.03,3.88,2.09,2.48,3.34,,,,
December,3.14,3.87,1.05,4.21,6.61,4.63,2.96,4.98,,,,
Total,39.44,38.99,25.92,38.20,37.66,34.82,32.64,40.77,,,,
Calc annual,39.44,38.99,25.92,38.20,37.66,34.82,32.64,40.77,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,,
