"POLTALLAN BURN",,,,,,,,,,,,
Grid ref,NS692075,Long,-4.064087,Lat,55.344071,,,,,,,
Station no,5030/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.30,13.37,3.18,7.31,4.63,5.81,11.85,8.24,4.89,6.74,,
February,6.40,6.00,2.09,5.40,2.40,1.65,6.80,6.74,2.12,7.35,,
March,4.50,4.05,1.06,4.46,2.35,4.28,5.63,2.15,5.29,3.16,,
April,4.96,4.14,4.77,2.57,3.97,2.87,2.58,2.28,5.64,5.30,,
May,2.93,3.31,4.53,6.76,4.15,3.60,3.53,3.45,2.69,3.58,,
June,2.38,3.21,1.91,5.20,3.45,6.30,2.09,5.55,3.94,4.25,,
July,2.67,4.16,7.79,4.61,2.39,8.74,5.87,5.49,6.23,5.69,,
August,10.40,4.71,5.13,5.66,2.37,8.40,7.93,5.58,2.72,4.71,,
September,6.85,3.37,9.23,11.21,6.95,8.65,5.85,6.47,2.37,4.65,,
October,1.38,7.50,7.58,12.15,5.30,4.84,6.53,6.22,9.35,5.65,,
November,14.51,4.04,10.36,15.31,4.85,2.92,3.33,2.92,10.64,11.97,,
December,12.90,5.65,7.95,9.40,11.19,9.65,6.26,7.03,13.64,6.40,,
Total,76.18,63.51,65.58,90.04,54.00,67.71,68.25,62.12,69.52,69.45,,
Calc annual,76.18,63.51,65.58,90.04,54.00,67.71,68.25,62.12,69.52,69.45,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
