"ABERDEEN (RUBISLAW DEN SOUTH)",,,,,,,,,,,,
Grid ref,NJ916058,Long,-2.140441,Lat,57.143017,,,,,,,
Station no,5642/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.20,5.09,,
February,,,,,,,,,0.22,2.69,,
March,,,,,,,,,1.33,1.38,,
April,,,,,,,,,2.54,1.76,,
May,,,,,,,,,1.87,0.80,,
June,,,,,,,,,1.88,1.89,,
July,,,,,,,,,1.64,3.74,,
August,,,,,,,,,0.51,4.14,,
September,,,,,,,,,0.68,3.33,,
October,,,,,,,,,3.67,7.95,,
November,,,,,,,,,4.45,5.56,,
December,,,,,,,,,4.29,2.64,,
Total,,,,,,,,,25.28,40.97,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.28,40.97,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
