"INNERLEITHEN (GLEN)",,,,,,,,,,,,
Grid ref,NT299331,Long,-3.113683,Lat,55.586474,,,,,,,
Station no,5073/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.65,2.45,5.00,4.30,1.65,4.05,,
February,,,,,2.50,2.20,4.30,3.90,1.00,5.45,,
March,,,,,1.75,2.20,2.55,2.10,1.90,1.90,,
April,,,,,0.90,0.65,1.05,1.50,3.00,3.45,,
May,,,,5.70,2.15,1.35,1.90,2.60,1.40,2.25,,
June,,,,2.35,1.05,2.95,1.85,3.90,2.70,0.55,,
July,,,,2.45,1.65,4.85,3.45,5.25,3.05,2.60,,
August,,,,5.20,1.40,6.20,4.90,3.60,0.90,4.25,,
September,,,,5.10,1.40,2.55,1.80,3.05,0.80,1.85,,
October,,,,6.50,2.50,3.05,3.45,2.00,4.40,3.60,,
November,,,,6.55,1.90,1.40,2.35,0.75,7.30,4.35,,
December,,,,5.40,6.45,5.30,4.30,6.00,5.45,2.85,,
Total,,,,,26.30,35.15,36.90,38.95,33.55,37.15,,
Calc annual,0.00,0.00,0.00,39.25,26.30,35.15,36.90,38.95,33.55,37.15,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
