"LISBURN (HILLHALL)",,,,,,,,,,,,
Grid ref,IJ280635,Long,-6.024557,Lat,54.503883,,,,,,,
Station no,6209/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.60,,
February,,,,,,,,,,2.44,,
March,,,,,,,,,,2.12,,
April,,,,,,,,,,3.06,,
May,,,,,,,,,,1.88,,
June,,,,,,,,,,1.93,,
July,,,,,,,,,,5.94,,
August,,,,,,,,,,5.20,,
September,,,,,,,,,,2.70,,
October,,,,,,,,,,5.07,,
November,,,,,,,,,,3.65,,
December,,,,,,,,,,2.20,,
Total,,,,,,,,,,39.79,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.79,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
