"COVENTRY (CITY HOSPITAL)( MEMORIAL PARK)",,,,,,,,,,,,
Grid ref,SP328774,Long,-1.519417,Lat,52.393644,,,,,,,
Station no,2467,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.74,1.01,0.74,2.17,3.76,1.20,2.80,3.34,4.43,,
February,2.90,0.52,1.27,2.69,2.09,0.53,3.01,3.29,0.08,1.84,,
March,3.63,2.30,1.12,2.38,2.71,0.78,2.33,1.74,1.88,1.45,,
April,2.06,2.21,1.91,0.43,1.03,0.73,0.25,0.86,2.70,0.71,,
May,3.23,3.12,1.42,2.26,4.87,0.56,1.38,2.19,0.60,1.21,,
June,1.33,1.21,1.97,2.62,8.15,2.56,1.76,3.65,0.83,2.94,,
July,1.53,0.28,2.98,3.37,0.77,2.78,4.09,4.66,1.11,3.70,,
August,5.54,4.30,2.72,3.66,0.60,4.78,2.06,2.15,1.38,2.96,,
September,1.44,1.41,1.84,1.89,1.47,1.67,4.15,3.10,0.03,4.08,,
October,1.01,4.02,2.78,3.36,1.37,1.97,1.21,2.55,2.43,5.19,,
November,5.87,1.82,1.07,5.33,1.96,0.68,1.39,1.96,2.74,3.40,,
December,1.58,2.51,0.80,1.77,2.07,2.80,2.23,2.61,3.85,3.22,,
Total,32.50,25.44,20.89,30.50,24.26,23.60,25.06,31.56,20.97,35.13,,
Calc annual,32.50,25.44,20.89,30.50,29.26,23.60,25.06,31.56,20.97,35.13,,
Difference,-0.00,0.00,-0.00,-0.00,-5.00,0.00,0.00,0.00,0.00,0.00,,
