"INVERGARRY (ABERCHALDER LODGE)",,,,,,,,,,,,
Grid ref,NH343033,Long,-4.736305,Lat,57.090766,,,,,,,
Station no,5701/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.99,3.53,5.33,2.02,3.98,7.99,3.91,3.07,4.75,,
February,,2.61,2.55,2.86,4.26,2.54,3.68,2.44,2.44,3.90,,
March,,1.99,1.79,2.71,1.21,2.27,4.09,1.08,2.66,0.85,,
April,,2.24,3.35,2.20,1.67,1.86,1.50,3.04,5.69,4.64,,
May,0.81,2.34,4.22,4.42,2.06,3.99,0.84,5.26,1.16,1.07,,
June,2.40,2.19,1.19,2.38,2.33,1.96,1.89,2.15,4.38,2.11,,
July,2.96,2.85,4.37,2.37,0.46,4.71,4.27,3.39,5.08,2.70,,
August,4.98,5.03,3.74,3.99,0.78,5.40,5.05,4.07,2.52,4.57,,
September,3.32,4.43,4.48,5.98,5.03,6.12,3.26,3.24,1.37,2.69,,
October,2.95,6.97,1.84,9.17,4.84,4.67,5.26,5.94,7.16,0.89,,
November,5.62,2.42,9.87,5.84,0.87,3.79,2.25,1.59,8.42,4.49,,
December,8.00,4.71,5.02,10.21,8.07,10.41,7.53,4.39,9.15,5.61,,
Total,,42.77,45.95,57.46,33.60,51.70,47.61,40.50,53.10,38.27,,
Calc annual,31.04,42.77,45.95,57.46,33.60,51.70,47.61,40.50,53.10,38.27,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
