"BELLINGHAM (HIGHGREEN)",,,,,,,,,,,,
Grid ref,NY808911,Long,-2.303288,Lat,55.213763,,,,,,,
Station no,3580,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,3.20,1.38,3.13,3.04,3.09,4.77,2.51,2.03,3.96,,
February,2.86,0.83,2.05,1.80,3.23,2.16,3.55,3.50,0.78,4.13,,
March,3.08,2.46,0.75,1.80,1.75,0.92,2.57,2.37,1.61,2.60,,
April,2.72,2.34,3.76,0.53,0.84,0.85,0.58,2.16,2.71,1.86,,
May,2.38,2.03,2.78,4.41,2.33,0.84,1.52,3.38,0.48,2.00,,
June,1.27,2.12,1.58,1.98,1.97,3.08,1.80,3.07,2.51,2.52,,
July,1.71,1.57,4.09,3.52,1.69,2.86,4.07,5.80,2.66,3.55,,
August,3.49,4.45,4.36,4.53,1.19,7.86,3.71,3.32,0.36,3.22,,
September,2.13,3.06,3.74,4.96,2.18,2.75,2.41,3.64,1.07,2.11,,
October,1.03,3.05,1.39,7.32,2.21,1.91,2.66,2.21,2.44,4.62,,
November,7.07,3.81,3.50,4.19,1.53,1.09,1.29,0.95,6.70,4.41,,
December,3.76,3.53,1.79,4.10,4.29,3.39,2.22,4.81,4.85,3.69,,
Total,34.61,32.45,31.17,42.27,26.25,30.80,31.15,37.72,28.20,38.67,,
Calc annual,34.61,32.45,31.17,42.27,26.25,30.80,31.15,37.72,28.20,38.67,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
