"KIRRIEMUIR (BACKWATER)",,,,,,,,,,,,
Grid ref,NO255589,Long,-3.218732,Lat,56.715817,,,,,,,
Station no,5580,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.60,2.80,1.50,2.70,2.70,3.50,4.20,4.50,1.80,4.60,,
February,5.40,1.30,1.70,4.10,2.30,1.90,5.20,2.60,0.60,6.00,,
March,2.10,4.50,0.60,4.00,1.40,3.20,3.30,4.30,3.50,3.50,,
April,2.80,1.85,2.50,1.40,1.00,0.90,1.30,1.00,3.20,4.60,,
May,1.70,4.45,1.80,5.30,2.40,1.20,2.40,3.10,1.00,2.40,,
June,2.10,2.60,3.30,2.10,1.80,2.80,1.50,3.20,2.80,2.80,,
July,2.70,2.90,3.50,3.10,0.70,4.32,6.60,3.70,3.90,3.60,,
August,5.30,2.30,2.60,3.10,0.65,6.80,4.40,3.60,1.20,7.50,,
September,3.12,1.10,4.10,4.20,1.80,5.20,2.80,4.80,1.20,3.99,,
October,1.10,4.80,2.20,6.80,2.50,2.70,1.90,2.90,4.00,8.70,,
November,14.10,2.30,3.30,9.00,2.60,1.20,1.60,1.20,6.80,5.10,,
December,4.10,3.00,4.60,5.50,7.70,6.60,5.50,6.40,9.10,2.90,,
Total,49.12,33.90,31.70,51.30,27.55,40.32,40.70,41.30,39.10,55.69,,
Calc annual,49.12,33.90,31.70,51.30,27.55,40.32,40.70,41.30,39.10,55.69,,
Difference,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
