"HIGHAM (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ715722,Long,0.465273,Lat,51.422864,,,,,,,
Station no,416,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.70,2.03,0.96,,,,,,,,,
February,5.80,0.80,1.37,,,,,,,,,
March,3.10,2.85,0.41,,,,,,,,,
April,2.72,1.08,2.39,,,,,,,,,
May,2.64,1.10,2.06,,,,,,,,,
June,1.37,1.52,1.92,,,,,,,,,
July,2.96,0.92,4.65,,,,,,,,,
August,3.41,2.60,1.60,,,,,,,,,
September,3.63,4.07,3.28,,,,,,,,,
October,1.02,2.29,3.02,,,,,,,,,
November,4.45,4.82,1.28,,,,,,,,,
December,1.93,2.98,0.90,,,,,,,,,
Total,35.73,27.06,23.84,,,,,,,,,
Calc annual,35.73,27.06,23.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
