"REAY (THE SCHOOLHOUSE)",,,,,,,,,,,,
Grid ref,NC968649,Long,-3.775478,Lat,58.559862,,,,,,,
Station no,5816/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,1.09,,,,,,,,
September,,,,2.79,,,,,,,,
October,,,,6.23,,,,,,,,
November,,,,5.01,,,,,,,,
December,,,,5.15,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,20.27,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
