"COUNTESTHORPE (WIGSTON SEWAGE FARM)",,,,,,,,,,,,
Grid ref,SP597968,Long,-1.120681,Lat,52.565762,,,,,,,
Station no,2500,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.22,2.10,1.05,1.09,1.69,4.05,1.45,2.60,3.05,3.89,,
February,3.11,0.61,1.28,2.44,1.91,0.77,3.56,3.23,0.05,1.49,,
March,3.55,2.13,1.64,2.01,2.39,0.98,2.24,1.50,1.91,1.34,,
April,2.48,1.97,2.18,0.29,0.95,0.95,0.21,0.59,2.03,0.70,,
May,3.08,4.19,1.58,2.03,3.53,0.58,2.27,2.08,0.40,1.00,,
June,1.46,1.71,2.74,2.49,3.24,2.96,1.79,4.69,0.94,2.83,,
July,1.02,0.37,2.11,2.69,1.09,3.55,3.57,3.13,1.21,3.09,,
August,3.81,3.04,2.80,3.69,1.34,-999.00,3.01,2.74,0.61,4.16,,
September,1.96,1.66,1.38,2.20,1.13,1.86,4.08,2.43,0.07,3.67,,
October,0.80,2.80,2.50,3.02,1.48,1.46,1.04,2.27,1.96,4.42,,
November,4.58,2.43,1.86,4.78,1.15,0.83,1.87,1.87,2.08,2.83,,
December,2.06,2.63,0.80,2.45,1.88,3.32,2.46,2.32,3.61,3.15,,
Total,30.13,25.64,21.92,29.18,21.78,26.81,27.55,29.45,17.92,32.57,,
Calc annual,30.13,25.64,21.92,29.18,21.78,21.31,27.55,29.45,17.92,32.57,,
Difference,0.00,0.00,0.00,0.00,0.00,5.50,0.00,-0.00,0.00,0.00,,
