"LEADHILLS (MUIRHOUSE)",,,,,,,,,,,,
Grid ref,NS888153,Long,-3.758304,Lat,55.418954,,,,,,,
Station no,5187/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.23,4.71,-999.00,3.59,8.12,8.03,2.93,5.20,,
February,,,1.95,5.91,1.77,1.37,5.48,4.85,2.33,6.98,,
March,,,0.93,4.63,2.77,3.88,5.46,1.49,5.41,2.55,,
April,,,4.04,2.03,3.27,1.06,3.54,2.01,5.26,5.19,,
May,,,4.08,7.16,5.26,3.22,3.90,4.20,1.86,2.59,,
June,,,2.35,6.46,3.46,5.91,2.95,3.78,4.08,3.28,,
July,,,7.95,5.41,3.53,6.71,4.57,5.68,6.78,4.46,,
August,,,5.32,5.81,2.68,8.04,6.31,6.79,1.41,4.84,,
September,,,7.12,11.40,5.61,6.01,4.47,7.67,1.81,6.02,,
October,,,6.19,10.87,5.21,4.93,5.40,4.26,7.31,4.15,,
November,,,10.07,12.02,3.20,2.16,3.19,2.02,10.54,11.74,,
December,,,7.36,6.42,7.67,9.40,6.21,6.17,10.62,4.89,,
Total,,,60.59,82.83,49.50,56.28,59.60,56.95,60.34,61.89,,
Calc annual,0.00,0.00,60.59,82.83,44.43,56.28,59.60,56.95,60.34,61.89,,
Difference,NaN,NaN,0.00,0.00,5.07,0.00,0.00,0.00,0.00,0.00,,
