"BISHOP'S STORTFORD (CASTLE MOUND)",,,,,,,,,,,,
Grid ref,TL490215,Long,0.162906,Lat,51.872176,,,,,,,
Station no,963/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.59,2.07,0.89,1.19,2.31,3.42,1.12,2.13,2.10,2.33,,
February,4.56,0.65,1.91,2.14,1.63,0.70,2.61,2.77,0.15,1.73,,
March,3.07,2.92,0.36,2.23,1.29,0.71,1.32,1.15,2.05,1.00,,
April,2.77,1.26,2.51,0.25,0.35,1.15,0.22,1.04,2.51,0.53,,
May,2.25,1.21,1.53,1.70,4.53,0.50,0.56,2.35,0.98,1.39,,
June,0.90,1.87,2.13,2.31,2.93,1.94,1.98,5.27,0.66,1.44,,
July,1.22,0.63,3.40,3.14,0.49,3.91,2.80,2.74,2.01,2.89,,
August,4.75,5.58,2.06,3.35,1.15,4.31,1.92,3.56,0.69,2.80,,
September,2.85,2.60,1.66,1.60,2.01,1.86,3.00,3.63,0.04,4.94,,
October,0.93,2.19,2.91,2.55,4.20,1.76,2.04,2.43,1.96,6.20,,
November,4.40,4.06,1.00,3.57,0.86,0.65,2.25,1.97,2.50,3.31,,
December,1.70,2.65,0.56,1.97,1.96,2.73,2.22,4.40,4.15,3.03,,
Total,31.99,27.69,20.92,26.00,23.71,23.64,22.04,33.44,19.80,31.59,,
Calc annual,31.99,27.69,20.92,26.00,23.71,23.64,22.04,33.44,19.80,31.59,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
