"CHESTERFIELD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SK392745,Long,-1.413742,Lat,53.266053,,,,,,,
Station no,2718,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,2.87,0.77,2.62,2.36,5.25,1.56,3.09,3.07,5.40,,
February,3.94,0.54,2.33,2.68,2.56,1.53,3.10,4.45,0.14,2.91,,
March,3.62,1.79,1.82,2.40,2.79,0.72,1.75,1.78,1.62,1.82,,
April,1.11,1.42,2.44,0.28,0.68,2.27,0.16,0.75,3.82,1.13,,
May,3.29,2.31,1.66,3.20,3.21,0.55,1.22,2.41,1.24,1.28,,
June,0.90,1.95,2.25,2.67,3.01,3.21,1.36,6.26,0.84,1.14,,
July,0.68,2.03,2.71,1.84,0.75,4.11,4.07,5.76,1.50,3.33,,
August,4.64,2.02,2.40,4.66,0.65,6.31,4.51,3.23,0.79,4.02,,
September,2.24,2.44,1.73,2.52,0.72,3.56,5.76,2.49,0.03,3.90,,
October,0.95,4.24,2.17,2.92,2.20,1.69,1.56,2.30,2.40,6.02,,
November,7.26,1.64,1.25,5.85,2.87,0.80,3.44,0.71,4.03,4.50,,
December,2.45,2.20,1.13,3.11,3.21,3.77,2.83,3.63,4.16,3.81,,
Total,33.47,25.45,22.66,34.75,25.01,33.77,31.32,36.86,23.64,39.26,,
Calc annual,33.47,25.45,22.66,34.75,25.01,33.77,31.32,36.86,23.64,39.26,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
