"GLENKILN RESERVOIR",,,,,,,,,,,,
Grid ref,NX851776,Long,-3.801341,Lat,55.079505,,,,,,,
Station no,5025/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.92,5.01,2.54,6.09,5.20,4.44,6.88,6.88,3.02,6.01,,
February,3.79,1.14,1.36,5.06,2.35,1.14,4.97,3.78,2.03,7.72,,
March,4.57,4.56,0.69,4.02,2.89,2.61,4.93,1.69,4.03,1.83,,
April,3.05,3.64,3.15,1.71,2.81,1.21,3.03,1.34,3.87,6.09,,
May,2.42,3.16,2.96,4.60,4.19,2.78,4.25,5.03,0.93,2.65,,
June,1.82,3.60,2.88,4.57,4.02,3.32,1.54,4.52,4.20,2.82,,
July,2.94,3.95,7.23,4.30,2.70,7.05,4.00,5.22,4.18,6.33,,
August,10.55,4.41,3.36,5.06,2.06,9.24,5.40,5.28,2.26,5.48,,
September,6.59,1.93,5.70,8.35,3.43,5.45,4.37,6.83,1.94,5.02,,
October,0.71,5.50,4.13,11.58,5.07,4.01,6.31,5.43,6.63,6.36,,
November,11.98,3.00,7.38,12.53,3.22,2.06,2.85,2.69,9.80,9.95,,
December,9.79,5.91,4.97,6.22,8.25,6.61,6.45,5.81,11.09,4.53,,
Total,66.13,45.81,46.35,74.09,46.19,49.92,54.98,54.50,53.98,64.79,,
Calc annual,66.13,45.81,46.35,74.09,46.19,49.92,54.98,54.50,53.98,64.79,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
