"DUNGENESS LIGHTHOUSE",,,,,,,,,,,,
Grid ref,TR089168,Long,0.970323,Lat,50.912848,,,,,,,
Station no,247/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,2.16,5.59,1.48,1.91,3.03,3.02,,
February,,,,,1.43,-999.00,4.35,2.46,0.07,2.21,,
March,,,,,1.20,0.27,0.54,1.12,1.87,1.74,,
April,,,,,,0.68,0.35,1.26,1.53,0.86,,
May,,,,,4.04,0.74,1.44,1.88,0.66,1.78,,
June,,,,,1.91,1.80,0.49,3.49,0.88,1.37,,
July,,,,,0.84,3.05,3.02,1.95,1.07,2.42,,
August,,,,,2.45,3.42,1.70,2.67,0.74,3.55,,
September,,,,,,2.37,2.91,2.02,0.19,2.50,,
October,,,,,3.19,1.64,1.07,3.54,3.22,5.86,,
November,,,,,0.86,0.53,4.22,1.71,5.59,6.96,,
December,,,,,2.90,3.68,1.22,3.13,5.36,4.35,,
Total,,,,,,,22.79,27.14,24.21,38.62,,
Calc annual,0.00,0.00,0.00,0.00,20.98,23.77,22.79,27.14,24.21,36.62,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,2.00,,
