"WINCHESTER (HATHERLEY ROAD)",,,,,,,,,,,,
Grid ref,SU475301,Long,-1.323466,Lat,51.068274,,,,,,,
Station no,721/3/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.65,,3.73,4.58,,
February,,,,,,,3.49,,0.09,3.04,,
March,,,,,,,2.34,,3.80,1.59,,
April,,,,,,,0.18,,3.37,1.39,,
May,,,,,,,1.57,,0.51,1.11,,
June,,,,,,,1.65,,1.06,3.11,,
July,,,,,,,4.60,,2.11,4.75,,
August,,,,,,,4.02,,2.10,4.24,,
September,,,,,,,3.84,,0.08,4.80,,
October,,,,,,,3.06,,3.13,9.22,,
November,,,,,,,3.36,,3.62,5.25,,
December,,,,,,,3.15,,7.71,4.50,,
Total,,,,,,,33.91,,31.31,47.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.91,0.00,31.31,47.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,-0.00,,
