"STRATH FARRAR (LOCH A'MHUILLIDH)",,,,,,,,,,,,
Grid ref,NH282386,Long,-4.861295,Lat,57.405232,,,,,,,
Station no,5173/928,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.03,,
February,,,,,,,,,,3.41,,
March,,,,,,,,,,1.15,,
April,,,,,,,,,,5.99,,
May,,,,,,,,,,1.11,,
June,,,,,,,,,,3.03,,
July,,,,,,,,,5.77,2.11,,
August,,,,,,,,,3.96,5.86,,
September,,,,,,,,,1.38,2.58,,
October,,,,,,,,,7.72,3.20,,
November,,,,,,,,,7.12,3.59,,
December,,,,,,,,,7.18,5.92,,
Total,,,,,,,,,,42.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.13,42.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
