"SILENT VALLEY (BELFAST WATERWORKS)",,,,,,,,,,,,
Grid ref,IJ305210,Long,-6.004541,Lat,54.121633,,,,,,,
Station no,6196,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.52,4.62,2.08,2.95,5.90,4.87,5.19,4.77,3.67,6.34,,
February,3.36,0.61,1.98,6.59,5.01,1.42,3.42,5.01,1.83,4.40,,
March,3.98,3.69,0.52,5.01,2.23,2.36,7.25,2.11,3.84,6.91,,
April,2.67,2.07,2.60,1.01,3.59,1.33,1.75,1.60,2.63,3.90,,
May,4.10,1.30,2.22,6.48,3.75,1.55,5.54,5.52,1.48,2.53,,
June,2.52,3.44,1.93,3.97,6.92,3.72,2.29,7.44,2.17,2.84,,
July,3.61,1.40,6.83,4.44,2.76,4.01,5.45,4.18,2.67,9.05,,
August,6.87,3.99,5.11,3.64,1.81,7.69,6.13,7.78,1.06,5.05,,
September,5.56,2.83,4.96,5.04,2.71,4.23,8.29,6.87,3.27,4.45,,
October,0.82,8.14,3.11,8.45,2.84,3.29,5.38,3.44,6.75,7.79,,
November,9.02,4.40,4.69,8.30,3.13,1.85,2.63,3.14,6.43,5.78,,
December,6.57,5.02,4.62,6.37,6.37,6.71,6.70,4.75,10.43,5.03,,
Total,54.60,41.51,40.65,62.25,47.02,43.03,60.02,56.61,46.23,64.07,,
Calc annual,54.60,41.51,40.65,62.25,47.02,43.03,60.02,56.61,46.23,64.07,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
