"STOCKTON-ON-TEES (BILLINGHAM)",,,,,,,,,,,,
Grid ref,NZ461224,Long,-1.288038,Lat,54.594690,,,,,,,
Station no,3515,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.60,1.62,0.87,2.49,1.93,2.83,1.49,1.82,2.42,3.79,,
February,1.87,0.53,1.81,1.19,1.66,1.72,1.73,2.89,0.52,1.92,,
March,3.39,1.35,0.17,1.43,1.06,0.56,0.91,2.35,0.38,1.28,,
April,1.41,1.63,1.63,0.17,0.83,0.79,0.32,1.47,1.32,0.40,,
May,4.79,1.14,2.27,2.07,1.31,0.30,1.20,2.92,0.35,0.88,,
June,1.32,1.39,2.15,1.92,2.55,3.39,2.76,2.42,1.35,0.27,,
July,1.92,1.17,2.68,1.52,1.14,2.62,3.73,2.90,1.93,4.36,,
August,5.30,1.59,3.25,5.05,0.76,6.71,1.87,3.25,0.12,2.89,,
September,1.10,5.01,1.12,1.56,1.08,1.72,2.97,1.74,1.07,2.13,,
October,1.36,2.63,1.35,3.83,1.45,1.17,1.59,1.09,1.00,5.94,,
November,3.73,3.37,1.27,3.31,1.89,0.86,1.29,0.71,2.92,2.68,,
December,3.56,1.92,0.80,1.45,2.26,1.55,0.97,2.47,2.24,2.62,,
Total,31.35,23.35,19.37,25.99,17.92,24.22,20.83,26.03,15.62,29.16,,
Calc annual,31.35,23.35,19.37,25.99,17.92,24.22,20.83,26.03,15.62,29.16,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
