"ST HELENS (WINDLE HALL)",,,,,,,,,,,,
Grid ref,SJ500976,Long,-2.754747,Lat,53.472745,,,,,,,
Station no,2823/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.71,3.28,1.56,3.24,2.00,4.31,1.75,2.30,2.85,4.46,,
February,2.02,1.29,0.93,2.56,2.63,0.53,1.56,3.80,0.39,1.60,,
March,4.30,1.88,1.30,2.19,1.67,0.98,2.30,1.35,1.21,1.56,,
April,1.81,2.32,2.95,0.89,1.88,2.91,0.47,0.88,2.72,1.58,,
May,2.90,2.30,2.03,2.38,2.81,0.96,2.10,3.48,2.15,2.15,,
June,1.14,2.54,1.76,3.08,3.36,1.74,1.52,4.53,2.37,1.82,,
July,2.25,1.66,3.78,4.65,0.82,4.84,4.33,4.40,2.85,4.40,,
August,5.29,3.90,3.53,4.48,1.54,9.40,5.07,3.58,0.98,5.47,,
September,2.66,3.67,4.19,3.66,3.01,2.77,5.61,3.66,0.28,3.29,,
October,0.92,4.37,1.77,5.97,2.57,2.46,3.70,3.65,2.83,3.21,,
November,8.00,2.26,3.21,5.63,1.49,2.30,1.51,1.55,4.64,5.75,,
December,6.00,2.97,1.07,4.10,2.44,2.22,3.20,3.54,5.02,3.74,,
Total,40.00,32.44,28.08,42.83,26.22,35.42,33.12,36.72,28.29,39.03,,
Calc annual,40.00,32.44,28.08,42.83,26.22,35.42,33.12,36.72,28.29,39.03,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
