"FRESHWATER (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SZ341872,Long,-1.518688,Lat,50.683462,,,,,,,
Station no,601,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.61,2.16,1.36,1.82,3.59,5.38,2.40,4.34,3.10,3.61,,
February,6.35,0.70,1.13,3.37,1.76,0.33,4.09,2.96,0.26,2.46,,
March,4.14,2.89,0.36,4.13,1.08,0.52,2.19,1.03,2.31,2.44,,
April,2.20,1.97,1.66,0.19,0.57,1.96,0.20,0.48,2.13,1.23,,
May,2.54,2.51,2.03,2.08,3.50,0.43,1.06,2.80,0.72,2.10,,
June,1.05,1.20,1.80,2.64,3.66,2.96,1.53,3.21,0.77,2.96,,
July,2.07,0.41,3.23,3.42,0.55,2.56,4.67,1.61,1.85,3.36,,
August,4.79,5.21,1.71,6.12,0.89,4.09,2.68,3.67,1.83,4.26,,
September,3.41,5.29,3.25,2.66,1.86,3.85,3.59,5.58,0.31,7.18,,
October,1.10,4.06,3.89,2.67,3.06,1.34,2.30,3.49,3.28,7.37,,
November,8.20,4.88,2.07,5.38,2.89,0.71,3.09,3.31,4.36,6.30,,
December,3.16,3.27,0.76,2.99,5.05,4.87,2.61,4.63,7.29,4.26,,
Total,42.62,34.55,23.25,37.47,28.46,29.00,30.41,37.11,28.21,47.53,,
Calc annual,42.62,34.55,23.25,37.47,28.46,29.00,30.41,37.11,28.21,47.53,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
