"WRAYSBURY SCHOOL",,,,,,,,,,,,
Grid ref,TQ004738,Long,-0.556424,Lat,51.454289,,,,,,,
Station no,1004,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,1.77,,,,,,,,,,
February,5.25,0.73,,,,,,,,,,
March,3.21,2.32,,,,,,,,,,
April,2.66,1.50,,,,,,,,,,
May,2.40,2.25,,,,,,,,,,
June,1.46,1.31,,,,,,,,,,
July,1.26,0.39,,,,,,,,,,
August,3.58,3.36,,,,,,,,,,
September,2.32,3.22,,,,,,,,,,
October,1.04,2.39,,,,,,,,,,
November,5.14,2.21,,,,,,,,,,
December,1.63,2.24,,,,,,,,,,
Total,32.41,23.69,,,,,,,,,,
Calc annual,32.41,23.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
