"MARHAM",,,,,,,,,,,,
Grid ref,TF727096,Long,0.551874,Lat,52.656621,,,,,,,
Station no,1466/56,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.10,1.57,1.86,3.21,3.02,,
February,,,,,,1.18,2.58,3.59,0.10,1.37,,
March,,,,,,0.71,2.00,0.78,1.67,1.11,,
April,,,,,,0.80,0.16,0.91,1.40,0.65,,
May,,,,,,1.03,0.90,2.90,0.55,0.50,,
June,,,,,,2.00,1.60,2.57,1.22,1.57,,
July,,,,,,3.55,2.74,3.65,3.21,2.76,,
August,,,,,,3.97,2.24,2.36,1.76,3.31,,
September,,,,,,1.31,3.92,2.38,0.07,2.22,,
October,,,,,,1.61,1.30,1.99,1.89,3.65,,
November,,,,,,1.16,1.13,1.29,1.29,3.33,,
December,,,,,,1.40,1.85,2.67,3.43,2.79,,
Total,,,,,,21.82,21.99,26.95,19.80,26.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,21.82,21.99,26.95,19.80,26.28,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
