"HULL (SPRINGHEAD)",,,,,,,,,,,,
Grid ref,TA042294,Long,-0.421260,Lat,53.750562,,,,,,,
Station no,3394,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,1.58,0.92,1.53,1.55,4.83,1.50,2.04,2.09,4.33,,
February,2.41,0.60,1.56,1.92,1.92,1.52,1.94,3.69,0.23,1.64,,
March,2.79,2.38,0.47,1.83,2.07,1.23,1.64,1.65,1.50,0.88,,
April,1.14,1.13,1.89,0.24,0.65,1.69,0.28,1.20,2.77,1.07,,
May,3.92,1.67,2.18,3.44,2.94,0.50,2.71,2.80,0.29,0.60,,
June,1.32,2.03,3.29,1.39,2.00,2.65,3.46,3.56,0.92,0.44,,
July,1.30,1.91,2.29,1.92,0.87,3.54,4.33,4.60,2.08,4.16,,
August,5.34,1.18,2.92,5.61,0.75,5.53,2.88,1.95,0.27,2.12,,
September,0.85,3.66,0.60,2.19,0.78,1.42,3.22,1.79,0.22,2.60,,
October,0.81,2.13,1.76,3.89,1.62,0.96,1.59,1.64,2.11,5.26,,
November,3.50,2.68,1.84,4.33,1.17,0.72,2.55,0.66,2.27,3.74,,
December,1.74,1.62,1.30,2.17,2.83,1.55,2.16,3.01,3.04,2.90,,
Total,26.88,22.57,21.02,30.46,19.15,26.14,28.26,28.59,17.79,29.74,,
Calc annual,26.88,22.57,21.02,30.46,19.15,26.14,28.26,28.59,17.79,29.74,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
