"SALISBURY (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SU149293,Long,-1.788752,Lat,51.062846,,,,,,,
Station no,1508,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.57,2.46,0.88,2.01,3.04,5.44,2.02,3.52,4.63,3.87,,
February,5.52,0.49,1.36,2.58,1.31,0.09,3.71,2.84,0.18,2.85,,
March,3.60,2.95,0.54,2.91,1.31,0.83,1.88,1.90,4.14,1.91,,
April,3.18,2.03,2.30,0.17,0.34,1.36,0.27,0.72,2.89,1.33,,
May,2.89,2.90,1.95,3.37,3.88,0.33,1.70,2.27,0.83,1.12,,
June,0.41,1.24,1.99,2.91,3.11,1.60,1.13,4.19,1.30,2.54,,
July,0.83,0.55,2.67,2.07,0.32,2.67,4.29,1.74,1.78,3.24,,
August,4.75,3.97,2.14,3.56,0.23,3.63,2.74,5.23,1.11,3.44,,
September,3.32,3.26,2.47,2.32,1.27,3.06,3.26,4.30,0.12,4.86,,
October,0.66,4.36,3.56,2.87,2.67,2.19,2.39,3.32,2.90,9.54,,
November,9.45,3.61,1.79,7.46,3.24,0.69,2.62,2.56,4.32,4.83,,
December,2.79,2.64,0.74,3.41,4.01,4.81,2.97,3.62,7.48,3.65,,
Total,39.97,30.46,22.39,35.64,24.73,26.70,28.98,36.21,31.68,43.18,,
Calc annual,39.97,30.46,22.39,35.64,24.73,26.70,28.98,36.21,31.68,43.18,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
