"LOCHGOILHEAD ( ARDGOIL )",,,,,,,,,,,,
Grid ref,NN201014,Long,-4.899292,Lat,56.171190,,,,,,,
Station no,5436,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.45,7.30,7.05,9.09,4.49,6.71,12.58,8.58,4.06,6.93,,
February,6.80,3.65,4.94,6.83,4.17,2.97,6.38,4.63,4.11,9.40,,
March,5.99,6.60,3.51,6.11,2.00,4.63,8.19,2.32,8.06,3.90,,
April,6.50,3.52,4.69,4.04,5.19,3.30,2.93,3.17,8.56,9.51,,
May,2.18,1.70,3.61,3.93,4.88,5.70,2.77,6.02,2.78,5.17,,
June,2.78,5.11,1.19,5.47,4.93,4.59,3.72,2.77,5.57,6.74,,
July,5.49,4.56,8.33,5.65,1.55,6.47,6.52,4.57,9.84,7.95,,
August,6.39,7.74,8.11,6.10,1.42,5.81,5.78,8.71,3.83,5.88,,
September,5.90,6.27,12.02,10.93,8.20,7.27,5.35,8.07,3.37,4.49,,
October,2.90,9.30,6.00,13.96,7.70,5.55,9.10,9.46,10.28,6.31,,
November,15.12,3.25,15.21,13.14,4.13,4.67,3.24,3.15,10.97,11.77,,
December,14.00,8.75,9.37,14.54,11.81,13.02,11.10,11.74,17.81,12.67,,
Total,82.50,67.75,84.03,99.79,60.47,70.69,77.66,73.19,89.24,90.72,,
Calc annual,82.50,67.75,84.03,99.79,60.47,70.69,77.66,73.19,89.24,90.72,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
