"LYDBURY NORTH (TOTTERTON)",,,,,,,,,,,,
Grid ref,SO360874,Long,-2.943798,Lat,52.480754,,,,,,,
Station no,2273/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.62,2.92,0.74,2.33,2.19,4.27,1.03,2.78,3.72,4.95,,
February,3.45,0.80,2.18,2.97,1.55,0.30,2.60,4.26,0.23,3.28,,
March,4.43,1.48,1.65,1.91,3.68,1.44,2.24,1.34,2.51,1.97,,
April,2.07,1.75,2.70,0.53,1.06,2.01,0.25,0.46,2.89,2.02,,
May,2.95,2.57,1.80,2.94,4.28,0.60,1.57,2.44,1.49,1.87,,
June,0.70,2.25,2.33,3.53,4.22,1.47,1.57,4.32,1.60,1.92,,
July,1.47,1.32,2.70,2.17,0.83,2.95,4.68,3.65,2.02,3.21,,
August,3.71,4.00,2.88,3.82,0.87,3.75,8.74,2.56,1.03,4.15,,
September,2.39,2.61,2.99,2.05,1.04,3.64,5.15,7.19,0.01,3.59,,
October,0.82,5.22,2.93,3.36,2.10,1.81,1.63,3.46,3.82,6.71,,
November,6.70,2.74,2.19,7.18,2.98,1.22,2.80,2.22,4.06,5.70,,
December,2.79,3.17,1.30,2.48,3.68,3.21,2.30,2.63,6.19,4.16,,
Total,34.10,30.83,26.39,35.27,28.48,26.67,34.56,37.31,29.57,43.53,,
Calc annual,34.10,30.83,26.39,35.27,28.48,26.67,34.56,37.31,29.57,43.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
