"OKEHAMPTON (WEST BOWERLAND)",,,,,,,,,,,,
Grid ref,SX541929,Long,-4.068110,Lat,50.717365,,,,,,,
Station no,1664/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.56,5.82,6.14,,,,3.92,,
February,,,,5.77,4.08,0.45,,,,4.28,,
March,,,,4.68,1.43,2.67,,,,2.76,,
April,,,,1.14,1.89,1.53,,,,2.70,,
May,,,,4.36,3.43,1.10,,,,1.95,,
June,,,4.56,3.96,2.89,2.79,,,,2.11,,
July,,,4.56,6.30,2.72,5.85,,,,6.85,,
August,,,3.19,4.42,0.60,3.01,,,,3.71,,
September,,,5.00,4.96,2.90,7.07,,,,7.27,,
October,,,3.91,5.40,2.90,3.02,,,,8.98,,
November,,,3.93,9.18,5.00,2.90,,,,6.90,,
December,,,1.75,5.08,7.33,6.52,,,,6.81,,
Total,,,,57.81,40.99,43.05,,,,58.24,,
Calc annual,0.00,0.00,26.90,57.81,40.99,43.05,0.00,0.00,0.00,58.24,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,0.00,,
