"LOCHAN NA LAIRIG (NORTH END)",,,,,,,,,,,,
Grid ref,NN595414,Long,-4.286711,Lat,56.543524,,,,,,,
Station no,5556/6/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.21,12.94,,,,,
February,,,,,,3.17,7.71,,,,,
March,,,,,1.92,3.85,8.21,,,,,
April,,,,,3.41,3.83,3.93,,,,,
May,,,,,5.47,6.30,2.89,,,,,
June,,,,,3.47,5.88,3.15,,,,,
July,,,,,1.35,6.82,6.14,,,,,
August,,,,,1.86,7.42,7.16,,,,,
September,,,,,6.76,8.34,4.57,,,,,
October,,,,,5.79,6.72,6.93,,,,,
November,,,,,3.70,4.19,2.92,,,,,
December,,,,,12.01,13.61,,,,,,
Total,,,,,,75.34,,,,,,
Calc annual,0.00,0.00,0.00,0.00,45.74,75.34,66.55,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,,
