"GLEN UNICH (STABLES)",,,,,,,,,,,,
Grid ref,NO373782,Long,-3.030740,Lat,56.890907,,,,,,,
Station no,5611/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,2.50,,,,,,,,,
February,,,3.20,,,,,,,,,
March,,,0.62,,,,,,,,,
April,,,4.45,,,,,,,,,
May,,4.80,4.63,,,,,,,,,
June,,4.01,7.24,,,,,,,,,
July,,2.09,4.75,,,,,,,,,
August,,3.80,2.50,,,,,,,,,
September,,2.70,4.80,,,,,,,,,
October,,7.50,3.50,,,,,,,,,
November,,4.02,5.15,,,,,,,,,
December,,4.20,5.95,,,,,,,,,
Total,,,49.29,,,,,,,,,
Calc annual,0.00,33.12,49.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
