"DORCHESTER (STRATTON RECTORY)",,,,,,,,,,,,
Grid ref,SY650938,Long,-2.497405,Lat,50.742745,,,,,,,
Station no,1580/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.69,2.86,1.01,,,,,,,,,
February,6.26,0.63,2.38,,,,,,,,,
March,5.08,3.55,0.78,,,,,,,,,
April,2.73,2.49,3.28,,,,,,,,,
May,2.76,3.17,3.45,,,,,,,,,
June,0.40,1.07,3.40,,,,,,,,,
July,1.94,1.35,3.42,,,,,,,,,
August,6.28,4.10,2.38,,,,,,,,,
September,5.25,4.44,3.47,,,,,,,,,
October,1.13,5.27,4.14,,,,,,,,,
November,10.79,4.19,2.38,,,,,,,,,
December,3.76,3.66,0.90,,,,,,,,,
Total,51.07,36.78,30.99,,,,,,,,,
Calc annual,51.07,36.78,30.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
