"UPTON SCUDAMORE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,ST862482,Long,-2.199034,Lat,51.232816,,,,,,,
Station no,1476/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.63,3.27,1.01,1.67,3.62,4.39,1.79,2.94,4.70,3.71,,
February,5.62,1.00,1.87,3.26,1.91,0.20,4.71,3.14,0.25,3.02,,
March,3.47,3.34,0.83,3.34,1.47,1.03,1.90,1.20,3.61,2.33,,
April,3.31,2.10,2.66,0.20,0.71,1.49,0.35,1.01,2.97,1.43,,
May,2.72,5.17,2.29,2.24,4.04,0.36,1.85,2.56,3.78,1.26,,
June,1.53,1.56,1.59,4.10,3.43,1.76,1.96,4.23,1.36,3.22,,
July,1.56,0.85,3.62,2.97,0.19,2.70,4.06,2.47,1.99,3.35,,
August,5.40,4.17,2.04,4.45,0.31,3.40,2.98,3.31,0.97,5.31,,
September,2.92,3.34,4.31,3.19,1.65,3.02,3.21,4.47,0.10,4.09,,
October,0.75,4.37,3.29,2.66,2.34,2.02,2.35,2.57,2.93,6.93,,
November,9.18,4.35,1.61,6.63,3.76,0.69,2.50,2.28,3.85,4.47,,
December,2.81,2.87,0.78,2.75,4.24,4.08,2.82,3.57,7.43,5.21,,
Total,42.90,36.39,25.90,37.46,27.67,25.14,30.48,33.75,33.94,44.33,,
Calc annual,42.90,36.39,25.90,37.46,27.67,25.14,30.48,33.75,33.94,44.33,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
