"SPALDING (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,TF246222,Long,-0.154015,Lat,52.783006,,,,,,,
Station no,2529/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.16,1.31,0.63,1.40,2.16,4.51,0.69,2.16,2.33,3.60,,
February,3.17,0.29,1.99,2.04,2.55,0.77,2.41,2.77,0.15,2.48,,
March,3.58,2.45,0.74,1.48,1.81,0.67,1.70,1.41,2.43,1.05,,
April,2.03,1.41,1.65,0.37,0.97,1.02,0.24,0.72,1.09,0.31,,
May,2.77,1.72,2.08,3.33,2.86,1.10,1.61,2.34,0.76,0.70,,
June,1.01,0.73,2.95,2.68,2.12,2.20,1.83,3.26,0.97,1.30,,
July,1.09,0.20,3.68,2.54,0.28,2.77,2.19,3.71,1.97,2.51,,
August,2.80,2.48,1.94,3.43,0.92,3.75,2.06,2.92,1.03,2.73,,
September,1.44,2.36,1.18,1.92,0.96,1.26,3.53,2.28,0.27,2.56,,
October,0.96,1.98,2.23,1.97,1.33,0.94,1.05,2.00,1.20,5.19,,
November,3.05,2.34,1.72,4.15,1.17,0.59,1.95,1.38,1.47,3.36,,
December,1.12,1.54,0.68,2.05,1.45,1.59,2.04,2.69,3.52,3.20,,
Total,25.18,18.80,21.47,27.36,18.58,21.17,21.30,27.64,17.19,28.99,,
Calc annual,25.18,18.81,21.47,27.36,18.58,21.17,21.30,27.64,17.19,28.99,,
Difference,-0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
