"SOUTH BREWHAM (BEDLAMGREEN)",,,,,,,,,,,,
Grid ref,ST730338,Long,-2.387002,Lat,51.102859,,,,,,,
Station no,2000/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,6.03,4.40,,
February,,,,,,,,,0.37,2.97,,
March,,,,,,,,,5.38,2.70,,
April,,,,,,,,,3.13,2.57,,
May,,,,,,,,,1.17,1.66,,
June,,,,,,,,,0.73,2.49,,
July,,,,,,,,,1.79,5.43,,
August,,,,,,,,,1.57,6.15,,
September,,,,,,,,,0.33,5.01,,
October,,,,,,,,,4.02,10.42,,
November,,,,,,,,3.43,4.33,5.79,,
December,,,,,,,,5.04,8.29,5.68,,
Total,,,,,,,,,37.14,55.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,37.14,55.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
