"LLANISHEN RESERVOIR",,,,,,,,,,,,
Grid ref,ST188815,Long,-3.171871,Lat,51.526552,,,,,,,
Station no,564093,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.50,4.12,1.12,3.11,3.67,4.88,5.31,4.36,5.02,4.74,,
February,4.17,1.03,2.05,4.68,2.22,0.31,5.28,5.73,0.42,3.55,,
March,4.18,2.86,1.64,4.60,1.58,1.41,5.38,1.29,3.41,2.53,,
April,3.86,3.27,3.61,0.91,2.06,2.13,0.26,0.88,3.39,3.02,,
May,2.61,3.63,3.23,2.14,5.16,0.91,1.95,4.35,1.26,1.58,,
June,0.74,2.38,2.26,5.24,4.31,2.36,1.31,3.61,1.80,2.61,,
July,1.13,3.24,4.85,4.11,0.30,3.30,5.22,4.59,3.47,7.12,,
August,4.74,5.98,5.62,3.92,0.84,4.88,3.56,5.23,2.96,5.37,,
September,4.47,4.93,4.75,5.53,1.66,5.80,5.44,7.30,0.36,6.24,,
October,2.03,5.65,3.57,6.82,2.10,2.35,4.49,4.33,5.82,9.17,,
November,7.80,4.81,3.70,8.74,4.30,1.57,2.82,2.70,5.34,9.56,,
December,3.45,3.58,2.01,3.79,6.31,6.13,3.01,5.03,9.51,7.13,,
Total,44.68,45.48,38.41,53.59,34.51,36.03,44.03,49.40,42.76,62.62,,
Calc annual,44.68,45.48,38.41,53.59,34.51,36.03,44.03,49.40,42.76,62.62,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
