"THIRLESTANE CASTLE",,,,,,,,,,,,
Grid ref,NT282153,Long,-3.136032,Lat,55.426317,,,,,,,
Station no,5061,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.50,7.10,1.66,5.27,5.84,3.50,9.43,5.97,3.80,5.96,,
February,5.23,1.33,4.96,3.95,2.34,2.18,4.83,4.50,1.53,7.81,,
March,5.03,3.62,0.75,4.14,2.30,2.75,4.48,2.36,2.85,2.00,,
April,5.16,3.36,3.98,1.03,1.71,0.81,2.22,2.31,4.53,5.57,,
May,2.29,2.80,3.21,6.00,4.07,2.96,2.31,3.80,1.67,2.37,,
June,2.19,2.88,2.58,4.69,1.96,3.10,2.00,4.18,3.55,3.05,,
July,3.38,3.46,5.04,3.46,2.32,5.43,5.85,5.13,4.35,3.74,,
August,7.71,4.05,3.37,5.58,1.49,8.79,6.04,4.15,1.18,4.60,,
September,6.00,2.53,4.89,8.33,3.91,4.51,3.62,5.18,1.23,3.19,,
October,0.34,6.66,3.01,12.58,2.86,4.47,6.40,4.21,5.79,3.55,,
November,11.84,4.66,7.42,10.94,2.24,2.08,2.29,1.19,11.07,7.78,,
December,9.38,4.54,4.02,6.92,5.36,8.13,6.19,5.41,8.55,5.95,,
Total,66.05,46.99,44.89,72.89,36.40,48.71,55.66,48.39,50.10,55.57,,
Calc annual,66.05,46.99,44.89,72.89,36.40,48.71,55.66,48.39,50.10,55.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
