"GIGHA",,,,,,,,,,,,
Grid ref,NR642479,Long,-5.751072,Lat,55.667179,,,,,,,
Station no,5439/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,3.81,2.70,3.62,2.48,3.85,5.71,5.52,1.67,3.16,,
February,3.04,2.11,2.16,3.61,3.48,1.19,3.31,3.12,1.25,3.68,,
March,2.96,2.34,1.20,2.89,1.16,1.73,3.95,1.26,2.73,1.93,,
April,2.05,1.16,1.27,1.33,2.65,1.36,2.22,1.80,2.56,2.98,,
May,0.76,0.94,2.60,2.83,2.88,2.31,1.92,2.64,1.53,2.47,,
June,2.36,3.17,1.74,3.76,3.62,2.68,1.79,3.75,2.58,1.74,,
July,3.32,2.69,4.78,3.49,0.93,3.54,4.34,4.18,3.82,3.41,,
August,3.36,4.57,3.65,2.58,1.22,4.61,4.18,5.72,0.73,2.88,,
September,2.13,3.38,5.37,5.25,5.23,2.87,3.44,4.13,1.89,2.86,,
October,2.30,3.09,2.41,7.51,3.89,2.38,4.71,3.96,5.43,3.60,,
November,9.00,2.15,7.70,7.28,1.85,1.86,2.04,2.64,5.84,5.09,,
December,7.00,5.12,4.05,4.58,5.09,5.18,4.65,6.01,6.90,6.37,,
Total,42.15,34.53,39.63,48.73,34.48,33.56,42.26,44.73,36.93,40.17,,
Calc annual,42.15,34.53,39.63,48.73,34.48,33.56,42.26,44.73,36.93,40.17,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
