"MOURNE MOUNTAINS (OTT)",,,,,,,,,,,,
Grid ref,IJ280272,Long,-6.040129,Lat,54.177934,,,,,,,
Station no,6207/1/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.25,9.40,9.20,3.10,7.82,,
February,,,,,,1.40,5.95,5.25,2.25,8.25,,
March,,,,,,4.35,9.63,2.20,7.85,7.30,,
April,,,,,,1.50,1.95,1.65,4.60,6.75,,
May,,,,,,1.65,4.65,6.40,2.00,3.15,,
June,,,,,,6.40,1.25,9.70,2.25,4.69,,
July,,,,,,5.00,9.10,5.50,4.55,10.70,,
August,,,,,2.16,11.47,7.50,10.90,1.65,6.15,,
September,,,,,3.45,6.05,8.00,13.15,4.00,5.90,,
October,,,,,3.30,4.10,5.82,4.30,6.70,15.40,,
November,,,,,5.00,2.55,3.60,3.05,7.75,9.40,,
December,,,,,8.42,9.55,9.70,7.90,16.65,5.41,,
Total,,,,,,59.27,76.55,79.20,63.35,90.92,,
Calc annual,0.00,0.00,0.00,0.00,22.33,59.27,76.55,79.20,63.35,90.92,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,,
