"LOCH KATRINE (TUNNEL HILL TOP)",,,,,,,,,,,,
Grid ref,NN417088,Long,-4.556208,Lat,56.245276,,,,,,,
Station no,5515,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.40,6.30,6.30,8.80,5.80,6.80,13.90,11.80,4.10,6.10,,
February,5.90,3.50,5.20,7.80,4.10,3.50,6.90,4.40,3.70,8.90,,
March,5.90,8.60,3.60,7.20,2.20,5.30,9.20,2.60,7.50,3.60,,
April,5.90,4.30,4.90,3.10,5.30,3.10,3.70,3.90,6.50,10.20,,
May,2.10,2.40,4.80,5.50,5.10,5.20,3.40,5.80,2.00,5.00,,
June,2.40,5.80,3.41,4.90,4.80,4.70,2.50,4.10,4.20,3.30,,
July,5.10,3.80,7.50,4.00,1.20,6.90,6.20,5.20,7.70,6.20,,
August,8.40,6.70,5.40,7.20,1.50,7.30,7.50,7.30,4.10,5.20,,
September,6.50,4.60,10.10,11.60,7.10,9.10,5.50,7.00,1.90,4.50,,
October,2.80,9.70,7.70,14.60,7.40,5.90,9.50,8.40,9.70,7.00,,
November,13.90,2.90,16.40,16.30,4.60,4.50,3.10,2.70,9.10,11.70,,
December,14.40,7.90,10.00,18.00,16.20,14.70,12.80,9.90,16.40,9.80,,
Total,82.70,66.50,85.31,109.00,65.30,77.00,84.20,73.10,76.90,81.50,,
Calc annual,82.70,66.50,85.31,109.00,65.30,77.00,84.20,73.10,76.90,81.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
