"BOLTON W.W. (BROMILEY HEYS)",,,,,,,,,,,,
Grid ref,SD663169,Long,-2.511280,Lat,53.647511,,,,,,,
Station no,2882,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.68,5.66,2.89,6.66,3.11,6.94,4.34,5.23,3.23,7.32,,
February,4.63,2.27,1.66,4.44,2.66,1.24,3.58,9.28,1.36,3.95,,
March,-999.00,2.74,3.07,3.46,2.37,2.22,4.98,2.60,2.43,1.70,,
April,3.33,4.39,4.24,1.44,4.37,3.59,0.88,2.16,3.63,3.27,,
May,3.11,2.86,3.57,3.81,5.69,2.26,2.73,5.32,1.62,2.95,,
June,1.73,5.65,3.26,5.68,4.87,3.75,2.69,5.37,3.15,1.56,,
July,4.94,4.46,6.29,12.05,1.25,7.80,9.27,4.48,7.50,9.96,,
August,5.94,5.47,5.89,8.66,1.77,14.28,9.78,7.15,0.68,5.70,,
September,3.81,6.43,6.24,7.34,5.95,4.65,10.92,5.97,0.67,3.50,,
October,1.22,5.81,2.77,11.06,3.64,3.70,8.70,6.15,6.63,5.43,,
November,10.39,3.56,7.47,9.37,3.84,2.29,2.60,2.51,6.64,7.32,,
December,12.19,5.34,2.66,9.36,6.77,5.07,6.90,5.17,10.08,4.93,,
Total,63.70,54.64,50.01,83.33,46.29,57.79,67.37,61.39,47.62,57.59,,
Calc annual,57.97,54.64,50.01,83.33,46.29,57.79,67.37,61.39,47.62,57.59,,
Difference,5.73,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
