"BLYTH BRIDGE CHETHERAND HOUSE",,,,,,,,,,,,
Grid ref,NT119447,Long,-3.402884,Lat,55.687745,,,,,,,
Station no,5076/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.35,2.17,,,,
February,,,,,,,2.48,2.26,,,,
March,,,,,,,2.02,1.27,,,,
April,,,,,,,1.34,1.55,,,,
May,,,,,,,,2.29,,,,
June,,,,,,,,2.72,,,,
July,,,,,,,,6.28,,,,
August,,,,,,,,,0.65,,,
September,,,,,,,2.09,,0.86,,,
October,,,,,,,3.20,,3.25,,,
November,,,,,,0.99,1.47,,,,,
December,,,,,,2.94,3.65,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,3.93,19.60,18.54,4.76,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
