"SITHEAN MOR",,,,,,,,,,,,
Grid ref,NG848741,Long,-5.613657,Lat,57.705021,,,,,,,
Station no,5784/93,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,-999.00,-999.00,8.30,5.46,,
February,,,,,,,-999.00,-999.00,4.11,6.10,,
March,,,,,,,-999.00,-999.00,5.02,2.24,,
April,,,,,,,-999.00,,9.27,6.90,,
May,,,,,,,-999.00,,3.00,4.77,,
June,,,,,,,-999.00,,6.64,8.00,,
July,,,,,,,,,9.38,6.07,,
August,,,,,,,,,8.03,5.21,,
September,,,,,,,,,4.41,5.65,,
October,,,,,,,,,11.69,4.25,,
November,,,,,,,,,9.94,7.62,,
December,,,,,,,,,12.62,9.80,,
Total,65.10,72.45,61.60,68.20,,53.82,-999.00,-999.00,92.41,72.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.41,72.07,,
Difference,65.10,72.45,61.60,68.20,NaN,53.82,-999.00,-999.00,0.00,0.00,,
