"BRIGHTLING PARK",,,,,,,,,,,,
Grid ref,TQ682209,Long,0.393844,Lat,50.962973,,,,,,,
Station no,558,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.94,3.87,1.42,1.85,5.39,5.92,3.60,5.29,3.57,2.61,,
February,7.41,1.22,1.59,3.15,2.01,0.45,5.67,3.28,0.08,3.22,,
March,5.29,3.25,0.34,4.28,2.04,1.00,2.29,1.96,2.57,3.18,,
April,2.53,2.11,2.46,0.63,0.36,1.27,0.32,1.44,2.88,1.27,,
May,2.27,1.67,1.38,2.34,5.40,0.35,1.10,2.91,0.91,1.88,,
June,1.76,1.17,2.18,3.48,2.15,3.18,0.81,4.47,0.74,1.93,,
July,2.21,0.69,5.37,6.40,2.20,4.01,5.17,3.32,2.35,4.16,,
August,5.93,4.58,2.86,3.97,1.60,3.63,3.38,4.37,1.15,5.15,,
September,4.54,4.66,5.39,3.86,2.50,4.39,4.81,4.61,0.20,2.62,,
October,3.15,4.90,3.10,3.54,4.25,1.62,2.40,4.87,3.95,10.59,,
November,6.80,4.87,2.63,7.73,1.90,0.98,3.34,2.59,5.59,8.26,,
December,3.42,4.80,0.99,4.32,4.65,5.69,3.17,5.17,9.64,4.24,,
Total,50.25,37.79,29.71,45.55,34.45,32.49,36.06,44.28,33.63,49.11,,
Calc annual,50.25,37.79,29.71,45.55,34.45,32.49,36.06,44.28,33.63,49.11,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
