"ROCKBEARE MANOR",,,,,,,,,,,,
Grid ref,SY031939,Long,-3.374531,Lat,50.736601,,,,,,,
Station no,1777,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.57,2.18,0.40,1.64,5.05,2.97,2.20,2.51,4.08,3.57,,
February,3.63,0.48,1.50,2.92,2.57,0.29,4.53,3.44,0.35,3.95,,
March,3.69,2.51,0.61,3.06,1.45,1.11,2.35,1.22,4.94,2.64,,
April,1.67,2.95,2.50,0.04,1.11,0.74,0.00,0.54,2.53,3.90,,
May,2.35,2.69,2.36,1.77,3.13,0.59,2.30,2.63,1.16,2.01,,
June,0.94,1.19,1.60,2.65,3.34,1.08,2.94,4.67,1.80,0.54,,
July,1.59,0.72,1.60,3.16,2.61,2.12,1.99,2.26,2.43,2.95,,
August,3.14,3.81,1.90,2.72,0.12,2.87,2.78,3.26,4.05,3.40,,
September,3.36,2.08,3.03,2.01,0.98,5.64,2.31,3.51,0.17,5.01,,
October,0.55,4.72,2.73,2.06,1.58,1.54,1.93,2.56,2.91,12.29,,
November,4.70,3.10,2.42,7.16,4.46,1.70,2.32,3.59,7.73,3.62,,
December,2.27,2.59,0.86,3.67,4.16,4.46,3.11,5.54,6.74,2.59,,
Total,29.46,29.02,21.51,32.86,30.56,25.11,28.76,35.73,38.89,46.47,,
Calc annual,29.46,29.02,21.51,32.86,30.56,25.11,28.76,35.73,38.89,46.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
