"MARKINCH (CARRISTON RESERVOIR)",,,,,,,,,,,,
Grid ref,NO327036,Long,-3.086843,Lat,56.220187,,,,,,,
Station no,5484/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.89,2.31,0.76,2.79,1.86,2.75,4.17,,1.26,,,
February,2.99,0.69,1.01,2.91,2.41,1.59,3.98,,0.56,,,
March,4.14,3.24,0.99,3.13,2.06,1.52,2.39,,1.47,,,
April,2.56,1.97,3.51,1.50,1.00,0.94,0.99,,2.75,,,
May,2.73,2.60,2.89,7.63,2.36,0.92,1.67,,0.69,,,
June,2.29,2.60,1.31,2.68,1.05,3.38,2.12,,2.70,,,
July,5.73,2.09,3.24,3.71,1.24,5.49,5.67,,4.31,,,
August,3.87,4.01,2.43,4.74,0.65,6.75,5.67,,0.75,,,
September,2.11,2.00,3.38,3.88,1.91,3.24,1.97,,0.68,,,
October,0.36,2.88,2.13,8.92,2.11,2.06,2.76,,1.79,,,
November,5.90,2.70,4.22,4.82,1.70,0.59,2.12,,6.58,,,
December,3.32,3.12,3.50,3.83,5.30,2.70,3.65,,5.00,,,
Total,40.89,30.21,29.37,50.54,23.65,31.93,37.16,,28.54,,,
Calc annual,40.89,30.21,29.37,50.54,23.65,31.93,37.16,0.00,28.54,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,0.00,NaN,,
