"LEEK (WESTWOOD PARK AVENUE)",,,,,,,,,,,,
Grid ref,SJ978564,Long,-2.034314,Lat,53.104789,,,,,,,
Station no,2371/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.70,2.38,5.45,2.41,3.81,3.03,,,
February,,,,3.22,2.19,1.08,2.55,5.48,0.70,,,
March,,,,2.69,2.59,2.07,3.84,1.78,2.50,,,
April,,,,0.91,2.13,1.38,0.33,1.39,3.35,,,
May,,,,3.61,3.96,1.16,1.09,3.54,0.60,,,
June,,,,4.20,2.67,2.85,2.01,5.29,1.34,,,
July,,,,5.56,0.87,4.48,4.63,4.77,2.18,,,
August,,,,5.18,1.71,8.46,4.93,3.73,0.95,,,
September,,,2.65,5.16,2.92,2.92,7.18,5.06,0.22,,,
October,,,1.94,6.33,2.97,2.33,3.81,3.50,2.54,,,
November,,,2.53,5.89,2.34,1.55,2.63,2.00,4.10,,,
December,,,1.63,3.90,3.91,4.46,3.79,3.96,5.17,,,
Total,,,,49.35,30.64,38.19,39.20,44.31,26.68,,,
Calc annual,0.00,0.00,8.75,49.35,30.64,38.19,39.20,44.31,26.68,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
