"OVER BOHESPIE (NEW SITE)",,,,,,,,,,,,
Grid ref,NN743607,Long,-4.055591,Lat,56.720993,,,,,,,
Station no,5561/8/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.44,1.63,3.06,,
February,,,,,,,,2.15,1.05,4.16,,
March,,,,,,,,1.28,2.83,1.92,,
April,,,,,,,,1.28,3.59,4.54,,
May,,,,,,,,3.44,1.25,2.72,,
June,,,,,,,,3.03,2.59,2.04,,
July,,,,,,,,4.36,3.32,1.66,,
August,,,,,,,,4.62,2.02,2.64,,
September,,,,,,,,5.49,1.00,3.32,,
October,,,,,,,,3.72,6.77,3.58,,
November,,,,,,,,0.83,4.86,3.37,,
December,,,,,,,,5.39,6.68,4.28,,
Total,,,,,,,,39.03,37.59,37.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.03,37.59,37.29,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
