"MASHAM MOOR (ARNAGILL BECK E.)",,,,,,,,,,,,
Grid ref,SE162756,Long,-1.753315,Lat,54.175935,,,,,,,
Station no,3407/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.26,4.65,1.12,3.35,3.59,4.12,5.25,4.75,4.20,6.32,,
February,4.65,1.56,2.53,4.91,3.19,2.79,3.60,6.27,0.26,4.56,,
March,5.04,2.84,0.53,3.52,2.83,1.59,2.50,2.82,2.80,3.24,,
April,2.42,1.88,3.20,0.71,1.00,2.24,0.45,0.98,4.64,2.30,,
May,5.25,1.38,2.28,5.32,2.93,0.80,1.53,6.21,1.50,1.74,,
June,2.90,1.80,3.59,2.39,2.85,3.47,1.50,3.84,1.35,1.24,,
July,2.32,1.30,4.18,2.62,0.81,5.79,3.29,3.82,1.57,5.48,,
August,5.38,4.45,3.83,7.08,1.24,8.18,6.93,4.55,0.81,3.89,,
September,3.00,4.82,3.40,3.87,1.75,5.08,4.58,3.07,0.22,3.76,,
October,1.63,5.38,2.74,7.54,2.27,2.20,4.54,3.37,4.70,8.53,,
November,10.20,2.30,2.90,7.63,3.14,0.86,2.50,1.13,4.92,4.13,,
December,5.49,2.85,2.38,4.75,5.74,6.02,4.30,5.30,7.40,4.20,,
Total,54.54,35.21,32.68,53.69,31.34,43.14,40.97,46.11,34.37,49.39,,
Calc annual,54.54,35.21,32.68,53.69,31.34,43.14,40.97,46.11,34.37,49.39,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
